feature,importance
hour,0.10599999999999998
is_night,0.0524
windspeed_10m,0.03799999999999992
city_ardahan,0.011599999999999944
city_bayburt,0.010800000000000032
yağış_türü_yok,0.010599999999999943
dangerous_temp,0.009000000000000008
city_hakkari,0.009000000000000008
city_artvin,0.009000000000000008
city_gümüşhane,0.00880000000000003
city_kars,0.008599999999999941
city_tunceli,0.008399999999999963
temperature_2m,0.007800000000000029
city_muş,0.007199999999999984
city_sinop,0.006599999999999939
city_kilis,0.006399999999999961
city_bitlis,0.005800000000000027
city_siirt,0.005800000000000027
city_iğdır,0.00539999999999996
city_ağrı,0.005199999999999982
city_şırnak,0.0048000000000000265
city_bartın,0.0048000000000000265
city_bingöl,0.0035999999999999366
rain_0_2,0.0033999999999999586
city_manisa,0.0033999999999999586
precipitation,0.0023999999999999577
city_osmaniye,0.0021999999999999797
city_çankırı,0.0021999999999999797
city_tokat,0.0021999999999999797
heavy_rain_safe_context,0.0020000000000000018
city_bilecik,0.0020000000000000018
city_yozgat,0.0018000000000000238
city_denizli,0.0015999999999999348
yağış_türü_yağmur,0.0015999999999999348
city_bolu,0.0015999999999999348
city_tekirdağ,0.0011999999999999789
city_burdur,0.0011999999999999789
city_çorum,0.0011999999999999789
city_diyarbakır,0.0010000000000000009
city_sakarya,0.0010000000000000009
city_trabzon,0.0010000000000000009
city_malatya,0.0010000000000000009
city_rize,0.0010000000000000009
city_erzurum,0.0010000000000000009
city_eskişehir,0.0010000000000000009
yağış_türü_kar,0.0010000000000000009
city_muğla,0.0010000000000000009
city_kırıkkale,0.0010000000000000009
city_kırşehir,0.0010000000000000009
city_mardin,0.0008000000000000229
city_kırklareli,0.0008000000000000229
is_saganak,0.0008000000000000229
city_i̇zmir,0.0008000000000000229
city_giresun,0.0008000000000000229
city_düzce,0.0008000000000000229
city_erzincan,0.0005999999999999339
city_şanlıurfa,0.0005999999999999339
city_ordu,0.0005999999999999339
city_kocaeli,0.0005999999999999339
city_konya,0.0005999999999999339
city_kahramanmaraş,0.0005999999999999339
city_karaman,0.0005999999999999339
city_ankara,0.0005999999999999339
city_karabük,0.00039999999999995595
city_zonguldak,0.00039999999999995595
heavy_rain_night,0.00039999999999995595
city_adıyaman,0.00039999999999995595
city_aydın,0.00039999999999995595
city_antalya,0.00039999999999995595
city_bursa,0.00039999999999995595
city_elazığ,0.00039999999999995595
city_balıkesir,0.00039999999999995595
city_uşak,0.00019999999999997797
high_wind,0.00019999999999997797
city_isparta,0.00019999999999997797
city_kayseri,0.00019999999999997797
city_kastamonu,0.00019999999999997797
city_i̇stanbul,0.00019999999999997797
rain_5_10,0.00019999999999997797
rain_gt_10,0.00019999999999997797
heavy_rain_high_wind,0.00019999999999997797
city_afyonkarahisar,0.0
city_mersin,0.0
city_kütahya,0.0
city_samsun,0.0
city_hatay,0.0
city_gaziantep,0.0
city_batman,0.0
city_nevşehir,0.0
heavy_rain_risky_context,0.0
city_amasya,-0.00019999999999997797
city_aksaray,-0.00019999999999997797
city_yalova,-0.00019999999999997797
city_sivas,-0.00019999999999997797
city_van,-0.00040000000000006697
city_edirne,-0.00040000000000006697
rain_2_5,-0.00040000000000006697
city_çanakkale,-0.0006000000000000449
city_adana,-0.0006000000000000449
city_niğde,-0.0008000000000000229
